"id_producto","nombre_producto","especificaciones","observaciones","cantidad_minima","precio_unitario_producto","zona_uso","peso_unitario_producto","ancho_present","largo_present","alto_present","nombre_categoria"
"PAL001","Jasmine","Paleta inspirado en la llamativa princesa Jasmine. Incluye 35 sombras","Contiene sombras con tonos fríos, cálidos y shimers",3,"85.00","Ojos","0.350","10.0","15.0","2.0","Paletas"
"PAL002","Island Girl","Paleta completa para recrear looks coloridos y vibrantes. Incluye 15 sombras y espejo","Contiene sombras con tonos fríos, cálidos y shimers",3,"85.00","Ojos","0.350","10.0","15.0","2.0","Paletas"
"PAL003","Tease Me","Paleta completa, perfecta para looks elaborados y sutiles. Incluye 18 sombras y espejo","Contiene sombras con tonos cálidos y shimers",3,"55.00","Ojos","0.350","10.0","15.0","2.0","Paletas"
"PAL004","Nude X","Paleta completa para recrear looks, desde básicos a elaborados","Contiene sombras con tonos cálidos y shimers",3,"75.00","Ojos","0.350","10.0","15.0","2.0","Paletas"
"PRI001","Releaf Primer","Ideal para pieles secas para aportar luminosidad, sin verse grasoso","Contiene extracto de cannabis, ácido hialurónico, vitamina B5, niacinamida",4,"28.50","Rostro","0.150","2.5","2.5","4.0","Primers"
"POL001","Pink Cloud Bye Filter","Polvo suelto perfecto para un acabado hermoso y efecto blush","Nueva fórmula talc-free",4,"55.00","Rostro","0.150","3.5","3.5","1.5","Polvos"
"POL002","Bye Filter","Polvo suelto para fijar maquillaje","Deja un acabado mate y efecto filtro en el rostro",4,"45.00","Rostro","0.150","3.5","3.5","1.5","Polvos"
"COR001","Corrector HD Pro","Con cobertura media a graduable, hidrata y matifica","Para mayor cobertura aplicarlo con brocha biselada o lengua de gato",6,"16.00","Rostro","0.150","1.0","1.0","3.5","Correctores"
"COR002","Blur Italia Deluxe","Retoque invisible que deja un efecto mate y sedoso","Desaparece la grasa al instante",6,"28.00","Rostro","0.150","1.0","1.0","3.5","Correctores"
"RUB001","Cheeky Baby Líquido","Perfecto blush con una excelente pigmentación, basta con un punto a usar","Puede usarse en mejillas y labios",6,"17.50","Mejillas","0.150","1.0","1.0","3.5","Rubores"
