"id_producto","id_presentacion","id_color","nombre_producto","especificaciones","observaciones","precio_unitario","peso_unitario","ancho_present","largo_present","alto_present","fecha_creacion","fecha_actualizacion","cantidad_minima","nombre_categoria"
"PAL01",1,1,"Jasmine","Paleta inspirado en la llamativa princesa Jasmine. Incluye 35 sombras","Contiene sombras con tonos fríos, cálidos y shimers","85.00","0.350","2.0","10.0","5.0","2024-01-21 11:00:00","2024-01-21 11:00:00",3,"Paletas"
"PAL02",1,7,"Island Girl","Paleta completa para recrear looks coloridos y vibrantes. Incluye 15 sombras y espejo","Contiene sombras con tonos fríos, cálidos y shimers","85.00","0.350","2.0","10.0","5.0","2024-01-21 11:00:00","2024-01-21 11:00:00",3,"Paletas"
"PAL03",1,8,"Tease Me","Paleta completa, perfecta para looks elaborados y sutiles. Incluye 18 sombras y espejo","Contiene sombras con tonos cálidos y shimers","55.00","0.350","2.0","10.0","5.0","2024-01-21 11:00:00","2024-01-21 11:00:00",3,"Paletas"
"PAL04",1,9,"Nude X","Paleta completa para recrear looks, desde básicos a elaborados","Contiene sombras con tonos cálidos y shimers","75.00","0.350","2.0","10.0","5.0","2024-01-21 11:00:00","2024-01-21 11:00:00",3,"Paletas"
"PRI01",2,6,"Releaf Primer","Ideal para pieles secas para aportar luminosidad, sin verse grasoso","Contiene extracto de cannabis, ácido hialurónico, vitamina B5, niacinamida","28.50","0.150","2.5","2.5","4.0","2024-01-21 11:00:00","2024-01-21 11:00:00",4,"Primers"
"POL01",3,8,"Pink Cloud Bye Filter","Perfecto para un acabado hermoso y efecto blush","Nueva fórmula talc-free","55.00","0.150","3.5","3.5","1.5","2024-01-21 11:00:00","2024-01-21 11:00:00",4,"Polvos"
"POL02",3,12,"Bye Filter","Para fijar maquillaje","Deja un acabado mate y efecto filtro en el rostro","45.00","0.150","3.5","3.5","1.5","2024-01-21 11:00:00","2024-01-21 11:00:00",4,"Polvos"
"POL03",3,13,"Bye Filter","Para fijar maquillaje","Deja un acabado mate y efecto filtro en el rostro","45.00","0.150","3.5","3.5","1.5","2024-01-21 11:00:00","2024-01-21 11:00:00",3,"Polvos"
"POL04",3,14,"Bye Filter","Para fijar maquillaje","Deja un acabado mate y efecto filtro en el rostro","45.00","0.150","3.5","3.5","1.5","2024-01-21 11:00:00","2024-01-21 11:00:00",3,"Polvos"
"COR01",4,11,"Corrector HD Pro","Con cobertura media a graduable, hidrata y matifica","Para mayor cobertura aplicarlo con brocha biselada o lengua de gato","16.00","0.150","1.0","1.0","3.5","2024-01-21 11:00:00","2024-01-21 11:00:00",6,"Correctores"
"COR02",4,15,"Corrector HD Pro","Con cobertura media a graduable, hidrata y matifica","Para mayor cobertura aplicarlo con brocha biselada o lengua de gato","16.00","0.150","1.0","1.0","3.5","2024-01-21 11:00:00","2024-01-21 11:00:00",8,"Correctores"
"COR03",4,16,"Corrector HD Pro","Con cobertura media a graduable, hidrata y matifica","Para mayor cobertura aplicarlo con brocha biselada o lengua de gato","16.00","0.150","1.0","1.0","3.5","2024-01-21 11:00:00","2024-01-21 11:00:00",6,"Correctores"
"COR04",5,5,"Blur Italia Deluxe","Retoque invisible que deja un efecto mate y sedoso","Desaparece la grasa al instante","28.00","0.150","1.0","1.0","2.5","2024-01-21 11:00:00","2024-01-21 11:00:00",6,"Correctores"
"RUB01",6,8,"Cheeky Baby Líquido","Perfecto blush con una excelente pigmentación, basta con un punto a usar","Puede usarse en mejillas y labios","17.50","0.150","1.0","1.0","3.5","2024-01-21 11:00:00","2024-01-21 11:00:00",6,"Rubores"
"RUB02",6,17,"Cheeky Baby Líquido","Perfecto blush con una excelente pigmentación, basta con un punto a usar","Puede usarse en mejillas y labios","17.50","0.150","1.0","1.0","3.5","2024-01-21 11:00:00","2024-01-21 11:00:00",6,"Rubores"
"RUB03",6,18,"Cheeky Baby Líquido","Perfecto blush con una excelente pigmentación, basta con un punto a usar","Puede usarse en mejillas y labios","17.50","0.150","1.0","1.0","3.5","2024-01-21 11:00:00","2024-01-21 11:00:00",6,"Rubores"
"RUB04",6,19,"Cheeky Baby Líquido","Perfecto blush con una excelente pigmentación, basta con un punto a usar","Puede usarse en mejillas y labios","17.50","0.150","1.0","1.0","3.5","2024-01-21 11:00:00","2024-01-21 11:00:00",6,"Rubores"
"RUB05",7,8,"Stay Blushing Cute","Buena pigmentación y se desliza al difuminar. Deja un acabado semi matte","Puede usarse en labios y mejillas","30.00","0.150","1.0","1.0","3.5","2024-01-21 11:00:00","2024-01-21 11:00:00",6,"Rubores"
"RUB06",7,20,"Stay Blushing Cute","Buena pigmentación y se desliza al difuminar. Deja un acabado semi matte","Puede usarse en labios y mejillas","30.00","0.150","1.0","1.0","3.5","2024-01-21 11:00:00","2024-01-21 11:00:00",6,"Rubores"
"RUB07",7,21,"Stay Blushing Cute","Buena pigmentación y se desliza al difuminar. Deja un acabado semi matte","Puede usarse en labios y mejillas","30.00","0.150","1.0","1.0","3.5","2024-01-21 11:00:00","2024-01-21 11:00:00",6,"Rubores"
"RUB08",7,22,"Stay Blushing Cute","Buena pigmentación y se desliza al difuminar. Deja un acabado semi matte","Puede usarse en labios y mejillas","30.00","0.150","1.0","1.0","3.5","2024-01-21 11:00:00","2024-01-21 11:00:00",6,"Rubores"
